customer_id,subject,body
1,"Consulta sobre cuenta bancaria","Hola, necesito ayuda con mi cuenta bancaria en Lemon. Mi CVU es 1234567890123456789012. He intentado realizar varias transferencias a otras cuentas y he notado que no se procesan correctamente. Me sale un error al intentar hacer una transferencia superior a $10,000. Quisiera saber si existe alguna restricción o si hay algún tipo de problema con mi cuenta. También me gustaría saber cómo puedo verificar si mi cuenta está en buen estado para realizar estas operaciones."
2,"Consulta sobre criptomonedas","¿Cuál es el proceso para retirar criptomonedas de mi cuenta en Lemon? He invertido en Bitcoin y Ethereum, y quiero saber si existe algún tipo de tarifa o comisión por el retiro. Además, me gustaría saber si puedo hacer el retiro a una billetera externa o si existen restricciones sobre el tipo de billeteras a las que puedo transferir. ¿Hay algún límite diario de retiro o alguna otra restricción que deba tener en cuenta antes de realizar mi operación?"
3,"Problema con transferencia","No recibí la transferencia que hice ayer en Lemon. Mi CVU es 9876543210987654321098. El dinero fue descontado de mi cuenta, pero no llegó a la cuenta receptora. Ya pasaron más de 24 horas y no he recibido ningún tipo de confirmación ni actualización en el estado de la transferencia. Necesito saber si hay algún retraso en el proceso o si debo tomar alguna acción adicional para completar la transferencia. ¿Podrían indicarme cómo proceder?"
4,"Consulta sobre inversión","¿Cuáles son las mejores opciones de inversión en Lemon? Estoy buscando una manera segura de hacer crecer mi dinero a largo plazo. He leído sobre los fondos de inversión, pero no estoy seguro de cuál elegir. Me gustaría recibir una recomendación basada en diferentes perfiles de riesgo, considerando que soy conservador en mis inversiones. ¿Lemon ofrece algún asesoramiento personalizado o alguna herramienta que pueda ayudarme a decidir?"
5,"Problema con cuenta de ahorros","No puedo acceder a mi cuenta de ahorros en Lemon. He intentado iniciar sesión varias veces, pero siempre me aparece un mensaje de error. Me preocupa que haya algo mal con mi cuenta o que haya sido bloqueada por alguna razón. He verificado mi correo y no he recibido ninguna notificación sobre intentos fallidos o problemas relacionados. ¿Hay alguna manera de recuperar el acceso a mi cuenta? ¿Qué pasos debo seguir para solucionarlo?"
6,"Consulta sobre tarjeta de débito","¿Cómo puedo solicitar una tarjeta de débito en Lemon? He revisado la aplicación y no encontré la opción para solicitarla. He leído que la tarjeta es muy útil para realizar compras en línea y en tiendas físicas, pero no logro encontrar la sección donde pueda iniciar el proceso de solicitud. ¿Me podrían indicar si hay algún requisito específico o si se debe cumplir alguna condición para poder obtener la tarjeta? Además, ¿cuánto tiempo tarda el proceso de emisión?"
7,"Problema con retiro","No pude retirar dinero del cajero automático en Lemon. Al intentar retirar efectivo, el cajero me indicó que no había fondos disponibles, aunque tengo suficiente saldo en mi cuenta. Probé en dos cajeros distintos y ambos tuvieron el mismo problema. Necesito saber si hay alguna restricción en los retiros de cajeros automáticos de la red de Lemon o si el problema está relacionado con mi cuenta. ¿Hay algo que deba hacer o algún procedimiento adicional que deba seguir para realizar el retiro correctamente?"
8,"Consulta sobre préstamo hipotecario","¿Cuáles son los requisitos para un préstamo hipotecario en Lemon? Estoy interesado en comprar una casa y me gustaría saber cuáles son las condiciones para aplicar a un préstamo hipotecario a través de Lemon. ¿Existen requisitos de antigüedad laboral o de ingresos mínimos? Además, ¿cuál es la tasa de interés y los plazos de pago disponibles? Quisiera saber también si es posible obtener una pre-aprobación antes de encontrar la propiedad que quiero comprar."
9,"Problema con pago de servicios","No pude pagar mis servicios en línea en Lemon. Intenté pagar mi factura de electricidad a través de la aplicación, pero no se procesó correctamente. El monto fue descontado de mi cuenta, pero el pago no aparece reflejado en el portal de la empresa proveedora. He intentado varias veces y el problema persiste. Quisiera saber si este es un problema común con el sistema de pagos de servicios o si hay alguna solución que deba probar para asegurarme de que el pago se realice correctamente."
10,"Consulta sobre transferencia internacional","¿Cuál es el proceso para hacer una transferencia internacional en Lemon? He hecho varias transferencias dentro del país, pero nunca he realizado una transferencia internacional. Me gustaría saber cuáles son los pasos y los tiempos estimados para completar una transferencia fuera del país. Además, me gustaría conocer las tarifas asociadas y si existe algún límite en el monto que se puede transferir. ¿Es posible realizar transferencias a cuentas bancarias en cualquier país o hay restricciones en cuanto a las ubicaciones?"
